Found valid dice [1, 2, 2, 3, 3, 4, 13, 13, 14, 14, 14, 14, 15, 15, 15, 15, 16, 16, 25, 26, 26, 27, 27, 28] and [1, 3, 4, 5, 6, 7, 7, 8, 9, 9, 10, 10, 11, 11, 12, 12, 13, 14, 14, 15, 16, 17, 18, 20]
Found valid dice [1, 2, 2, 3, 5, 5, 6, 6, 6, 6, 7, 7, 9, 9, 10, 10, 10, 10, 11, 11, 13, 14, 14, 15] and [1, 3, 3, 5, 9, 11, 11, 13, 13, 15, 15, 17, 17, 19, 19, 21, 21, 23, 23, 25, 29, 31, 31, 33]
Found valid dice [1, 2, 2, 3, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 11, 12, 12, 13, 15, 16, 16, 17] and [1, 3, 3, 5, 5, 7, 13, 13, 15, 15, 15, 15, 17, 17, 17, 17, 19, 19, 25, 27, 27, 29, 29, 31]
Found valid dice [1, 2, 2, 3, 5, 6, 6, 7, 9, 10, 10, 11, 13, 14, 14, 15, 17, 18, 18, 19, 21, 22, 22, 23] and [1, 3, 3, 5, 5, 7, 7, 9, 9, 11, 11, 13, 13, 15, 15, 17, 17, 19, 19, 21, 21, 23, 23, 25]
Found valid dice [1, 2, 2, 3, 7, 8, 8, 9, 9, 10, 10, 11, 15, 16, 16, 17, 17, 18, 18, 19, 23, 24, 24, 25] and [1, 3, 3, 5, 5, 5, 7, 7, 7, 9, 9, 11, 13, 15, 15, 17, 17, 17, 19, 19, 19, 21, 21, 23]
Found valid dice [1, 2, 2, 3, 9, 10, 10, 11, 13, 14, 14, 15, 17, 18, 18, 19, 21, 22, 22, 23, 29, 30, 30, 31] and [1, 3, 3, 5, 5, 5, 7, 7, 7, 7, 9, 9, 9, 9, 11, 11, 11, 11, 13, 13, 13, 15, 15, 17]
Found valid dice [1, 2, 3, 3, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 11, 12] and [1, 2, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 35, 36]
Found valid dice [1, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 11, 12, 12, 13, 14] and [1, 2, 5, 6, 9, 10, 13, 13, 14, 14, 17, 17, 18, 18, 21, 21, 22, 22, 25, 26, 29, 30, 33, 34]
Found valid dice [1, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 8, 13, 14, 15, 15, 16, 16, 17, 17, 18, 18, 19, 20] and [1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28]
Found valid dice [1, 2, 3, 3, 4, 4, 5, 6, 9, 10, 11, 11, 12, 12, 13, 14, 17, 18, 19, 19, 20, 20, 21, 22] and [1, 2, 5, 5, 6, 6, 9, 9, 10, 10, 13, 13, 14, 14, 17, 17, 18, 18, 21, 21, 22, 22, 25, 26]
Found valid dice [1, 2, 3, 3, 4, 5, 5, 6, 7, 7, 7, 8, 8, 9, 9, 9, 10, 11, 11, 12, 13, 13, 14, 15] and [1, 2, 4, 5, 9, 10, 12, 13, 13, 14, 16, 17, 17, 18, 20, 21, 21, 22, 24, 25, 29, 30, 32, 33]
Found valid dice [1, 2, 3, 3, 4, 5, 5, 6, 7, 7, 8, 9, 13, 14, 15, 15, 16, 17, 17, 18, 19, 19, 20, 21] and [1, 2, 4, 5, 7, 8, 9, 10, 10, 11, 12, 13, 15, 16, 17, 18, 18, 19, 20, 21, 23, 24, 26, 27]
Found valid dice [1, 2, 3, 3, 4, 5, 7, 8, 9, 9, 10, 11, 13, 14, 15, 15, 16, 17, 19, 20, 21, 21, 22, 23] and [1, 2, 4, 5, 5, 6, 8, 9, 9, 10, 12, 13, 13, 14, 16, 17, 17, 18, 20, 21, 21, 22, 24, 25]
Found valid dice [1, 2, 3, 3, 4, 5, 13, 13, 14, 14, 15, 15, 15, 15, 16, 16, 17, 17, 25, 26, 27, 27, 28, 29] and [1, 2, 4, 5, 5, 6, 7, 8, 8, 9, 9, 10, 10, 11, 11, 12, 12, 13, 14, 15, 15, 16, 18, 19]
Found valid dice [1, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 11, 12, 12, 13, 14, 15] and [1, 2, 3, 7, 8, 9, 13, 13, 14, 14, 15, 15, 19, 19, 20, 20, 21, 21, 25, 26, 27, 31, 32, 33]
Found valid dice [1, 2, 3, 4, 4, 5, 5, 6, 6, 7, 8, 9, 13, 14, 15, 16, 16, 17, 17, 18, 18, 19, 20, 21] and [1, 2, 3, 7, 7, 8, 8, 9, 9, 13, 13, 14, 14, 15, 15, 19, 19, 20, 20, 21, 21, 25, 26, 27]
Found valid dice [1, 2, 3, 4, 4, 5, 6, 7, 9, 10, 11, 12, 12, 13, 14, 15, 17, 18, 19, 20, 20, 21, 22, 23] and [1, 2, 3, 5, 6, 7, 7, 8, 9, 11, 12, 13, 13, 14, 15, 17, 18, 19, 19, 20, 21, 23, 24, 25]
Found valid dice [1, 2, 3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 11, 12, 12, 13, 14, 15, 16] and [1, 2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 29, 30, 31, 32]
Found valid dice [1, 2, 3, 4, 5, 5, 6, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 17, 18, 18, 19, 20, 21, 22] and [1, 2, 3, 4, 7, 8, 9, 9, 10, 10, 11, 12, 15, 16, 17, 17, 18, 18, 19, 20, 23, 24, 25, 26]
Found valid dice [1, 2, 3, 4, 5, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 11, 12, 12, 13, 14, 15, 16, 17, 18] and [1, 2, 3, 4, 5, 6, 13, 13, 14, 14, 15, 15, 16, 16, 17, 17, 18, 18, 25, 26, 27, 28, 29, 30]
Found valid dice [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24] and [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]
